type,status,type,date,ticker,purchase_price,amount,title,industry,country,sum,current_price,current_sum,change,profit,fixed_profit,share,price_ev_w,price_pe_w,price_ps_w
purchase,open,Stock,24.02.2025,KO,"67,45",1,Coca-Cola Co,Consumer Staples,United States,"67,45","56,55750555","56,55750555","-16,15%","-10,89249445",-1,"75,04%","0,3","0,4","0,3"
purchase,open,Stock,03.03.2025,AIR.PA,"170,32","0,088069",Airbus SE,Industrials,France,"14,99991208","193,86","17,07305634","13,82%","2,07314426",,"100,00%","0,4","0,4","0,2"
purchase,closed,Stock,03.03.2025,RHM.DE,1124,"0,013345",Rheinmetall AG,Industrials,Germany,"14,99978",,,,,,,"0,4","0,4","0,2"
purchase,open,Stock,03.03.2025,LMT,"431,95","0,034726",Lockheed Martin Corp,Industrials,United States,"14,9998957","402,6540219","13,98256356","-6,78%","-1,017332136",,"49,78%","0,4","0,4","0,2"
purchase,open,Stock,03.03.2025,KO,"68,13","0,220167",Coca-Cola Co,Consumer Staples,United States,"14,99997771","56,55750555","12,45209632","-16,99%","-2,547881386",,"16,52%","0,3","0,4","0,3"
purchase,open,Stock,03.03.2025,BTI,"37,72","0,530222",BRITISH AMERICAN TOBACCO PLC ADS Common Stock,Consumer Staples,United Kingdom,"19,99997384",4031,"2137,324882","10586,64%","2117,324908",,"100,00%","0,3","0,4","0,3"
purchase,dividend,Stock,01.04.2025,KO,,,Coca-Cola Co,Consumer Staples,United States,"0,42",,,,,,,"0,3","0,4","0,3"
,,,,,,,,,,,,,,,,,,,
purchase,closed,Stock,02.04.2025,RHM.DE,1310,"0,000763",Rheinmetall AG,Industrials,Germany,"0,99953",,,,,,,"0,4","0,4","0,2"
purchase,closed,Stock,02.04.2025,RHM.DE,1313,"0,00498",Rheinmetall AG,Industrials,Germany,"6,53874",,,,,,,"0,4","0,4","0,2"
,,,,,,,,,,,,,,,,,,,
purchase,open,Stock,02.04.2025,WMT,"82,7","0,036275",Walmart Inc,Consumer Staples,United States,"2,9999425","87,12222705","3,160358786","5,35%","0,1604162862",,"21,96%","0,3","0,4","0,3"
purchase,open,Stock,02.04.2025,COST,"887,4","0,00338",Costco Wholesale Corp,Consumer Staples,United States,"2,999412","809,8033566","2,737135345","-8,74%","-0,2622766547",,"21,09%","0,3","0,4","0,3"
purchase,open,Stock,02.04.2025,NVDA,"100,26","0,019948",NVIDIA Corp,Information Technology,United States,"1,99998648","150,354591","2,999273381","49,96%","0,9992869013",,"17,06%","0,2","0,3","0,5"
purchase,open,Stock,02.04.2025,BRK-B,"493,9","0,008098",Berkshire Hathaway Inc Class B,Financials,United States,"3,9996022","419,6050973","3,397962078","-15,04%","-0,6016401225",,"12,84%","0,0","0,7","0,3"
purchase,open,Stock,02.04.2025,MSFT,"351,65","0,005687",Microsoft Corp,Information Technology,United States,"1,99983355","440,9578331","2,507727197","25,40%","0,5078936466",,"22,65%","0,2","0,3","0,5"
