pre_ticker,ticker,title,country,country_ticker,industry,pre_share,share,price_ev_w,price_pe_w,price_ps_w,,Ticker,Company,Fair Price,Current Price,,,,,
PKO,PKO.WA,Powszechna Kasa Oszczednosci Bk Plski SA,Poland,WSE:,Financials,"18,85%","0,1885","0,01666666667","0,5833333333","0,4",,PGE.WA,PGE Polska Grupa Energetyczna S.A.,€9.26,€2.45,2.45,"2,45","0,0276","0,06762","35,259344"
PKN,PKN.WA,Orlen SA,Poland,WSE:,Energy,"12,01%","0,1201","0,5","0,3","0,2",,KGH.WA,KGHM Polska Miedz S.A.,€55.24,€33.34,33.34,"33,34","0,0488","1,626992",
PZU,PZU.WA,Powszechny Zaklad Ubezpieczen SA,Poland,WSE:,Financials,"10,30%","0,1030","0,01666666667","0,5833333333","0,4",,ZAB.WA,Zabka Group S.A.,€8.47,€5.15,5.15,"5,15","0,0179","0,092185",
PEO,PEO.WA,Bank Polska Kasa Opieki SA,Poland,WSE:,Financials,"10,20%","0,1020","0,01666666667","0,5833333333","0,4",,PEO.WA,Bank Polska Kasa Opieki S.A.,€64.17,€41.49,41.49,"41,49","0,1020","4,23198",
ALE,ALE.WA,Allegro,Poland,WSE:,Information Technology,"6,86%","0,0686","0,1833333333","0,35","0,4666666667",,PKN.WA,Orlen S.A.,€29.14,€19.92,19.92,"19,92","0,1201","2,392392",
DNP,DNP.WA,Dino Polska SA,Poland,WSE:,Consumer Discretionary,"6,26%","0,0626","0,2333333333","0,4333333333","0,3333333333",,PZU.WA,Powszechny Zaklad Ubezpieczen SA,€20.54,€14.17,14.17,"14,17","0,1030","1,45951",
SPL,SPL.WA,Santander Bank Polska SA,Poland,WSE:,Financials,"5,89%","0,0589","0,01666666667","0,5833333333","0,4",,SPL.WA,Santander Bank Polska S.A.,€148.92,€111.45,111.45,"111,45","0,0589","6,564405",
KGH,KGH.WA,KGHM Polska Miedz SA,Poland,WSE:,Materials,"4,88%","0,0488","0,5166666667","0,3166666667","0,1666666667",,PKO.WA,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,€20.91,€16.26,16.26,"16,26","0,1885","3,06501",
LPP,LPP.WA,LPP SA,Poland,WSE:,Consumer Staples,"4,86%","0,0486","0,2833333333","0,4666666667","0,25",,CCC.WA,CCC S.A.,€56.56,€44.32,44.32,"44,32","0,0243","1,076976",
CDR,CDR.WA,CD Projekt SA,Poland,WSE:,Information Technology,"4,40%","0,0440","0,1833333333","0,35","0,4666666667",,LPP.WA,LPP SA,"€4,617.01",€4181.95,4181.95,"4181,95","0,0486",0,
MBK,MBK.WA,mBank SA,Poland,WSE:,Financials,"3,94%","0,0394","0,01666666667","0,5833333333","0,4",,ALE.WA,Allegro.eu S.A.,€8.52,€8.15,8.15,"8,15","0,0686","0,55909",
PGE,PGE.WA,PGE Polska Grupa Energetyczna SA,Poland,WSE:,Energy,"2,76%","0,0276","0,5","0,3","0,2",,BDX.WA,Budimex SA,€128.03,€122.82,122.82,"122,82","0,0197","2,419554",
MIL,MIL.WA,Bank Millennium SA,Poland,WSE:,Financials,"2,55%","0,0255","0,01666666667","0,5833333333","0,4",,MBK.WA,mBank S.A.,€209.62,€210.99,210.99,"210,99","0,0394","8,313006",
CCC,CCC.WA,CCC SA,Poland,WSE:,Consumer Staples,"2,43%","0,0243","0,2833333333","0,4666666667","0,25",,DNP.WA,Dino Polska S.A.,€10.14,€10.79,10.79,"10,79","0,0626","0,675454",
BDX,BDX.WA,Budimex SA,Poland,WSE:,Real Estate,"1,97%","0,0197","0,5833333333","0,25","0,1666666667",,MIL.WA,Bank Millennium S.A.,€2.51,€3.50,3.50,"3,50","0,0255","0,08925",
ZAB,ZAB.WA,Zabka Group SA,Poland,WSE:,Consumer Staples,"1,79%","0,0179","0,2833333333","0,4666666667","0,25",,CDR.WA,CD Projekt S.A.,€17.22,€59.68,59.68,"59,68","0,0440","2,62592",
